Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,weekday,is_weekend,log_amount_paid,log_amount_received,amount_diff,same_currency,same_bank,from_account_id,to_account_id,sender_out_degree,sender_unique_receivers,sender_total_sent,sender_mean_sent,receiver_in_degree,receiver_unique_senders,receiver_total_received,receiver_mean_received,sent_received_ratio,sender_pagerank,receiver_pagerank,sample_sender_out_degree,sample_receiver_in_degree
2022-09-03 04:12:00,15,81363C431,15,81363C431,0.032682,Bitcoin,0.032682,Bitcoin,Bitcoin,0,4,5,1,0.03215930150555129,0.03215930150555129,0.0,1,1,15_81363C431,15_81363C431,2,2,3.6544209999999997,1.8272104999999998,2,2,0.043995000000000006,0.021997500000000003,83.06257387035183,2.1310578917833547e-05,2.1310578917833547e-05,2.0,2.0
2022-09-05 01:47:00,70,1004286A8,217950,80AF10E50,21.93,Euro,21.93,Euro,Cash,1,1,0,0,3.132446096869813,3.132446096869813,0.0,1,0,70_1004286A8,217950_80AF10E50,3313,2591,816043920.38,246315.70189556293,2,1,43.86,21.93,18605652.115238212,2.7366617765337683e-05,0.0,1092.0,0.0
2022-09-12 18:28:00,214749,805DB7F20,3514,80212D6B0,14295.77,Euro,14295.77,Euro,ACH,1,18,0,0,9.567788916608722,9.567788916608722,0.0,1,0,214749_805DB7F20,3514_80212D6B0,18,17,2207102.9699999997,122616.83166666665,1,1,14295.77,14295.77,154.38853380025077,8.534313245845852e-06,8.534313245845852e-06,6.0,1.0
2022-09-01 00:24:00,18475,80EFAFE90,18475,80EFAFE90,504.85,Yuan,504.85,Yuan,Reinvestment,0,0,3,0,6.2262401826519,6.2262401826519,0.0,1,1,18475_80EFAFE90,18475_80EFAFE90,1,1,504.85,504.85,1,1,504.85,504.85,0.9999999980192137,2.6249109327348023e-05,2.6249109327348023e-05,1.0,1.0
2022-09-05 17:21:00,1267,8030004E0,15643,80A7475A0,9281.0,Euro,9281.0,Euro,ACH,1,17,0,0,9.135832319801121,9.135832319801121,0.0,1,0,1267_8030004E0,15643_80A7475A0,14,14,57554070.96,4111005.068571429,1,1,9281.0,9281.0,6201.279059777903,7.247730094818736e-06,8.08601708109036e-06,8.0,1.0
2022-09-07 05:56:00,2843,8015B7560,1420,8015B7740,3345.22,US Dollar,3345.22,US Dollar,ACH,1,5,2,0,8.115586629534755,8.115586629534755,0.0,1,0,2843_8015B7560,1420_8015B7740,1,1,3345.22,3345.22,1,1,3345.22,3345.22,0.999999999701066,0.0,0.0,0.0,0.0
2022-09-06 16:53:00,228054,80A358040,228054,80A358090,1653.4,Australian Dollar,1653.4,Australian Dollar,ACH,1,16,1,0,7.41119368431411,7.41119368431411,0.0,1,1,228054_80A358040,228054_80A358090,4,3,4632.64,1158.16,1,1,1653.4,1653.4,2.8018870189900285,7.247730094818736e-06,1.0600878039905228e-05,2.0,1.0
2022-09-01 00:58:00,70,100428660,16109,8028736E0,918.47,US Dollar,918.47,US Dollar,Cheque,0,0,3,0,6.823797417084716,6.823797417084716,0.0,1,0,70_100428660,16109_8028736E0,5600,4322,1416091132.26,252873.416475,1,1,918.47,918.47,1541793.55963527,7.431068899654856e-05,7.277224870585592e-06,1867.0,1.0
2022-09-10 03:51:00,16450,80821E100,19023,81254C720,8.84,Euro,8.84,Euro,ACH,0,3,5,1,2.286455711064162,2.286455711064162,0.0,1,0,16450_80821E100,19023_81254C720,2,1,17.68,8.84,2,1,17.68,8.84,0.9999999434389172,7.247730094818736e-06,1.395402598499172e-05,1.0,1.0
2022-09-10 22:22:00,7548,8040AE4F0,213137,8062E7A30,13291.54,Euro,13291.54,Euro,ACH,1,22,5,1,9.494958254589688,9.494958254589688,0.0,1,0,7548_8040AE4F0,213137_8062E7A30,17,17,6616697.62,389217.50705882354,1,1,13291.54,13291.54,497.8127154191453,7.247730094818736e-06,7.247730094818736e-06,6.0,0.0
